Milage,Milage STD,Route,Bus Type,dSOC,mean_grade,std_grade,mean_v,std_v
0.3,0.05,45,35,10.26,0.72,3.69,8.73,3.85
0.31,0.05,45,40,10.21,0.72,3.69,8.73,3.85
0.22,0.03,45,60,9.19,0.72,3.69,8.69,3.82
0.34,0.06,70,35,5.63,-0.27,3.76,7.45,4.07
0.34,0.06,70,40,5.61,-0.27,3.76,7.45,3.07
0.26,0.04,70,60,4.92,-0.27,3.76,7.39,4.05
0.3,0.04,8,35,8.73,0.59,4.43,8.47,3.85
0.31,0.04,8,40,8.69,0.59,4.43,8.47,3.85
0.22,0.03,8,60,7.58,0.59,4.43,8.41,3.81
0.3,0.05,49,35,5.63,0.41,4.15,7.87,4.09
0.3,0.05,49,40,5.61,0.41,4.15,7.87,4.09
0.22,0.03,49,60,4.96,0.41,4.15,7.84,4.08
