,geometry,elevation[km],latitude,longitude,point_distances[km],cumulative_distance[km],speed_limit[km/s],is_stop,is_signal
0,POINT (-122.334598 47.609714),0.045681715313450395,-122.33459764399998,47.60971361500003,,,0.0156464,True,False
1,POINT (-122.334733 47.609657),0.0436349428994088,-122.33473251321566,47.60965722404924,0.014949617871935874,0.014949617871935874,0.0156464,False,True
2,POINT (-122.334867 47.609601),0.0433048954973256,-122.33486738472911,47.60960083859403,0.014949680639517744,0.02989929851145362,0.011176,False,False
3,POINT (-122.335002 47.609544),0.04296645871664401,-122.33500225624256,47.60954445313881,0.014949735789878663,0.04484903430133228,0.011176,False,False
4,POINT (-122.335137 47.609488),0.042648380544165594,-122.33513712775601,47.60948806768359,0.01494979090218471,0.059798825203516995,0.011176,False,False
5,POINT (-122.335272 47.609432),0.04258737910172881,-122.33527199559765,47.60943167344751,0.01494983390713974,0.07474865911065673,0.011176,False,False
6,POINT (-122.335407 47.609375),0.0424793603064384,-122.33540685816581,47.60937526660029,0.014949871758574923,0.08969853086923166,0.011176,False,False
7,POINT (-122.335542 47.609319),0.04284138792132001,-122.33554172073396,47.60931885975306,0.014949926793819202,0.10464845766305086,0.011176,False,False
8,POINT (-122.335677 47.609262),0.04136618505593279,-122.3356765833021,47.60926245290584,0.01494998179177361,0.11959843945482447,0.011176,False,False
9,POINT (-122.335811 47.609206),0.04116626395829041,-122.3358114195692,47.60920598332798,0.014949946857595372,0.13454838631241983,0.011176,False,True
10,POINT (-122.335946 47.609149),0.0409316827334736,-122.33594618447655,47.60914934355002,0.014949774232656797,0.14949816054507664,0.011176,False,False
11,POINT (-122.336081 47.609093),0.040489374272702404,-122.33608094938391,47.609092703772056,0.014949829532210364,0.164447990077287,0.011176,False,False
12,POINT (-122.336216 47.609036),0.0400305713093856,-122.33621573776087,47.60903611988486,0.014949960209764324,0.17939795028705133,0.011176,True,False
13,POINT (-122.336351 47.60898),0.0396000540527688,-122.33635053483121,47.60897955669734,0.014950043974324612,0.19434799426137594,0.011176,False,False
14,POINT (-122.336485 47.608923),0.0391155590045904,-122.33648531535556,47.60892295409176,0.01495004567716754,0.20929803993854348,0.011176,False,False
15,POINT (-122.33662 47.608866),0.0386097258020856,-122.33662009587991,47.60886635148618,0.014950100756763,0.2242481406953065,0.011176,False,False
16,POINT (-122.336755 47.60881),0.0389685559226256,-122.33675487640426,47.6088097488806,0.014950155797742969,0.23919829649304947,0.011176,False,False
17,POINT (-122.33689 47.608754),0.0384047664805344,-122.33689001850892,47.608754018359996,0.014951251451439837,0.2541495479444893,0.011176,False,True
18,POINT (-122.337025 47.608698),0.038433422149207204,-122.33702488965095,47.608697632016344,0.01495055710521169,0.269100105049701,0.011176,False,False
19,POINT (-122.33716 47.608641),0.03678040392931681,-122.33715976079299,47.60864124567269,0.014950611649310082,0.2840507166990111,0.011176,False,False
20,POINT (-122.337295 47.608585),0.0357831717038208,-122.33729463193501,47.60858485932904,0.014950666152600088,0.2990013828516112,0.011176,False,False
21,POINT (-122.33743 47.608528),0.0351853498302264,-122.33742950307703,47.60852847298539,0.014950720619121253,0.31395210347073244,0.011176,False,False
22,POINT (-122.337564 47.608472),0.0338497329863016,-122.33756438955453,47.60847212333837,0.014950824003398767,0.3289029274741312,0.011176,False,False
23,POINT (-122.337699 47.608416),0.03291241240669201,-122.3376992776712,47.60841577761376,0.014950883619206465,0.3438538110933377,0.011176,False,False
24,POINT (-122.337834 47.608359),0.0320828403681,-122.33783416578787,47.608359431889134,0.014950937898627004,0.3588047489919647,0.011176,False,False
25,POINT (-122.337969 47.608303),0.0318758827375152,-122.33796905390454,47.60830308616452,0.014950992142114164,0.37375574113407883,0.011176,False,False
26,POINT (-122.337915 47.608205),0.031968869261016,-122.33791532114404,47.608205114185466,0.0113081434072545,0.38506388454133333,0.0156464,False,False
27,POINT (-122.337817 47.608097),0.031263011397448796,-122.33781667635088,47.608097230685864,0.014850763294439545,0.3999146478357729,0.0156464,False,False
28,POINT (-122.337718 47.607989),0.030708836113015198,-122.33771803155773,47.60798934718627,0.01485061687759026,0.41476526471336317,0.0156464,False,False
29,POINT (-122.337619 47.607881),0.03015855522139224,-122.33761938676457,47.607881463686674,0.014850470385035975,0.4296157350983991,0.0156464,False,False
30,POINT (-122.337521 47.607774),0.029580081801252243,-122.33752074197143,47.60777358018708,0.014850323815263364,0.4444660589136625,0.0156464,False,False
31,POINT (-122.337422 47.607666),0.02903740028494104,-122.33742209717828,47.607665696687484,0.014850177171252952,0.45931623608491545,0.0156464,False,False
32,POINT (-122.337323 47.607558),0.029339823115024324,-122.33732345238512,47.60755781318788,0.014850030450555435,0.4741662665354709,0.0156464,False,False
33,POINT (-122.337225 47.60745),0.027929361000236644,-122.33722480759197,47.607449929688286,0.014849883652593586,0.4890161501880645,0.0156464,False,False
34,POINT (-122.337126 47.607342),0.02755918390252272,-122.33712616279881,47.60734204618869,0.01484973677894392,0.5038658869670084,0.0156464,False,True
35,POINT (-122.337027 47.607234),0.02749026835801728,-122.33702749546875,47.60723418330322,0.014849642881810985,0.5187155298488194,0.0156464,False,False
36,POINT (-122.336929 47.607126),0.027300893047126802,-122.33692881319585,47.60712633408571,0.014849531449567726,0.5335650612983871,0.0156464,False,False
37,POINT (-122.33683 47.607018),0.02718259267517328,-122.33683013092295,47.607018484868206,0.014849384386746642,0.5484144456851338,0.0156464,False,False
38,POINT (-122.336731 47.606911),0.027016124031235444,-122.33673144865006,47.6069106356507,0.01484923724573356,0.5632636829308673,0.0156464,False,False
39,POINT (-122.336633 47.606803),0.0268232159802324,-122.33663276637715,47.60680278643319,0.014849090030503172,0.5781127729613704,0.0156464,False,False
40,POINT (-122.336534 47.606695),0.02669843579217072,-122.33653408410426,47.606694937215686,0.014848942737087674,0.5929617156984581,0.0156464,False,False
41,POINT (-122.336435 47.606587),0.02661512532474576,-122.33643540183135,47.60658708799817,0.014848795369985913,0.6078105110684441,0.0156464,False,True
42,POINT (-122.336337 47.606479),0.02913852076488408,-122.33633673479808,47.60647922483839,0.014848611628265392,0.6226591226967094,0.0156464,False,False
43,POINT (-122.336238 47.606371),0.026946979324922644,-122.33623806796551,47.606371361494965,0.014848463616912552,0.6375075863136219,0.0156464,False,False
44,POINT (-122.336139 47.606263),0.02713290735049536,-122.33613940113295,47.60626349815155,0.014848316002300655,0.6523559023159226,0.0156464,False,False
45,POINT (-122.336041 47.606156),0.0258530233258032,-122.3360407343004,47.606155634808125,0.014848168313550856,0.6672040706294734,0.0156464,False,False
46,POINT (-122.335942 47.606048),0.025626310339433283,-122.33594206746783,47.6060477714647,0.01484802054909439,0.6820520911785678,0.0156464,False,False
47,POINT (-122.335843 47.60594),0.0274238004352968,-122.33584340063527,47.605939908121286,0.014847872705956581,0.6968999638845244,0.0156464,False,False
48,POINT (-122.335745 47.605832),0.02536307218050552,-122.33574472927813,47.60583204891714,0.014847735610690799,0.7117476994952151,0.0156464,False,False
49,POINT (-122.335646 47.605724),0.02859539216997504,-122.3356460504126,47.60572419658197,0.014847605657578504,0.7265953051527936,0.0156464,False,False
50,POINT (-122.335547 47.605616),0.025849944576299043,-122.33554737154708,47.605616344246805,0.014847457599381764,0.7414427627521754,0.0156464,False,False
51,POINT (-122.335449 47.605508),0.025922301329446562,-122.33544869268157,47.60550849191164,0.014847309464555621,0.756290072216731,0.0156464,False,False
52,POINT (-122.33535 47.605401),0.025534609911120002,-122.33535001381604,47.60540063957648,0.014847161255558326,0.7711372334722892,0.0156464,False,False
53,POINT (-122.335251 47.605293),0.02507417962331592,-122.33525133495051,47.60529278724131,0.014847012969938518,0.7859842464422278,0.0156464,False,False
54,POINT (-122.335153 47.605185),0.0240194769533808,-122.33515265608499,47.60518493490615,0.014846864607120935,0.8008311110493487,0.0156464,False,True
55,POINT (-122.335054 47.605077),0.023933670694401842,-122.33505398551961,47.60507707497759,0.014846696114832737,0.8156778071641814,0.0156464,False,False
56,POINT (-122.334955 47.604969),0.024707546522618643,-122.33495531754905,47.604969212675144,0.014846541334543946,0.8305243484987254,0.0156464,False,False
57,POINT (-122.334857 47.604861),0.023538054426575764,-122.3348566495785,47.6048613503727,0.014846392731522544,0.8453707412302479,0.0156464,False,False
58,POINT (-122.334758 47.604753),0.02513953988634672,-122.33475798160795,47.60475348807026,0.014846244053360338,0.8602169852836082,0.0156464,False,False
59,POINT (-122.334659 47.604646),0.023165904577399678,-122.33465931363739,47.604645625767816,0.014846095300060832,0.8750630805836691,0.0156464,False,False
60,POINT (-122.334561 47.604538),0.02296663025072688,-122.33456064566684,47.60453776346537,0.014845946468648907,0.889909027052318,0.0156464,True,False
61,POINT (-122.334462 47.60443),0.022835558850243843,-122.33446210075823,47.60442978883135,0.01484549052663562,0.9047545175789536,0.0156464,False,True
62,POINT (-122.334363 47.604322),0.02252987582150952,-122.33436344542866,47.60432191496682,0.014845618023163195,0.9196001356021168,0.0156464,False,False
63,POINT (-122.334265 47.604214),0.02186835001410912,-122.33426479009908,47.60421404110229,0.014845468952316873,0.9344456045544337,0.0156464,False,False
64,POINT (-122.334166 47.604106),0.02151636404217696,-122.33416613476952,47.60410616723777,0.014845319802851179,0.9492909243572849,0.0156464,False,False
65,POINT (-122.334067 47.603998),0.02056697213413704,-122.33406747943994,47.60399829337324,0.01484517058031238,0.9641360949375973,0.0156464,False,False
66,POINT (-122.333969 47.60389),0.02317236503913456,-122.33396882411037,47.60389041950871,0.014845021279161203,0.9789811162167585,0.0156464,False,False
67,POINT (-122.33387 47.603783),0.019367007291816,-122.33387016878079,47.60378254564418,0.014844871903896285,0.9938259881206548,0.0156464,False,True
68,POINT (-122.333772 47.603675),0.01907790955207512,-122.33377150726525,47.60367467743758,0.014844737569178413,1.0086707256898333,0.0156464,False,False
69,POINT (-122.333673 47.603567),0.018605840029830477,-122.33367284045407,47.60356681407462,0.014844601040149862,1.0235153267299832,0.0156464,False,False
70,POINT (-122.333574 47.603459),0.0179764579674084,-122.33357417364287,47.603458950711655,0.014844451448597064,1.0383597781785803,0.0156464,False,False
71,POINT (-122.333476 47.603351),0.0173425676877696,-122.33347550683168,47.60335108734869,0.014844301779963544,1.0532040799585438,0.0156464,False,False
72,POINT (-122.333377 47.603243),0.017610834148329844,-122.33337684002048,47.60324322398572,0.014844152035769482,1.0680482319943132,0.0156464,False,False
73,POINT (-122.333278 47.603135),0.01780701995702424,-122.33327817320928,47.60313536062276,0.014844002214447356,1.0828922342087606,0.0156464,False,False
74,POINT (-122.33318 47.603027),0.016352766611241604,-122.33317950639808,47.603027497259795,0.014843852317571756,1.0977360865263324,0.0156464,False,True
75,POINT (-122.333081 47.60292),0.02266792471980792,-122.33308083066096,47.60291964206241,0.014843724350298114,1.1125798108766305,0.0156464,False,False
76,POINT (-122.332982 47.602812),0.014929336147079522,-122.33298215481493,47.60281178696466,0.014843574580215218,1.1274233854568456,0.0156464,False,False
77,POINT (-122.332883 47.602704),0.023516048666858642,-122.3328834789689,47.602703931866905,0.014843424464602739,1.1422668099214484,0.0156464,False,False
78,POINT (-122.332785 47.602596),0.019218624156893762,-122.33278480312286,47.60259607676915,0.014843274272925326,1.1571100841943738,0.0156464,False,False
79,POINT (-122.332686 47.602488),0.01335558456494712,-122.33268613033145,47.60248821887706,0.01484311642509779,1.1719532006194715,0.0156464,True,False
80,POINT (-122.332587 47.60238),0.012932818587153361,-122.33258746633322,47.602380352941026,0.014842944304620529,1.186796144924092,0.0156464,False,False
81,POINT (-122.332489 47.602272),0.01287821460179208,-122.33248884435676,47.602272448617114,0.014842687141689733,1.2016388320657818,0.0156464,False,True
82,POINT (-122.33239 47.602164),0.012645408639922081,-122.33239031760961,47.60216445729896,0.014842302825634085,1.216481134891416,0.0156464,False,False
83,POINT (-122.332292 47.602056),0.012217329023103601,-122.33229179086246,47.60205646598081,0.014842152097597934,1.2313232869890138,0.0156464,False,False
