,geometry,elevation[km],latitude,longitude,point_distances[km],cumulative_distance[km],speed_limit[km/s],is_stop,is_signal
0,POINT (-122.231648 47.306523),0.02562270134732184,-122.23164821099999,47.30652286600008,,,0.011176,False,False
1,POINT (-122.231785 47.306483),0.02567700348131832,-122.23178493673579,47.30648346356683,0.01454336050491373,0.01454336050491373,0.011176,False,False
2,POINT (-122.231905 47.306402),0.02572828375837656,-122.23190488373159,47.30640179784913,0.014684008190809427,0.029227368695723156,0.0044704,False,False
3,POINT (-122.231974 47.306282),0.025779988293351843,-122.23197401306798,47.30628195224316,0.013743126417196444,0.0429704951129196,0.0044704,False,False
4,POINT (-122.231975 47.306137),0.0271508681717136,-122.23197466320134,47.306136588855445,0.014347159055468055,0.05731765416838766,0.0044704,False,False
5,POINT (-122.231975 47.305991),0.0258648222708108,-122.23197503643092,47.30599120507695,0.014341195303105278,0.07165884947149294,0.0044704,False,False
6,POINT (-122.231975 47.305846),0.02625133738748184,-122.23197540966049,47.30584582129845,0.014288646125005263,0.0859474955964982,0.0044704,False,False
7,POINT (-122.231976 47.3057),0.025998637437764642,-122.23197565090759,47.30570043728469,0.014285647220885793,0.10023314281738399,0.0044704,False,False
8,POINT (-122.231849 47.305644),0.025779325273189442,-122.23184853266828,47.30564377851385,0.014174184078067439,0.11440732689545142,0.011176,False,False
9,POINT (-122.231703 47.30564),0.02562243963759888,-122.23170339038055,47.3056400858423,0.014886875979456603,0.12929420287490803,0.011176,False,False
10,POINT (-122.231558 47.30564),0.02545624963423152,-122.23155800655209,47.30564043907694,0.014907360613677981,0.144201563488586,0.011176,False,False
11,POINT (-122.231413 47.305641),0.025427674399291677,-122.23141262272364,47.305640792311586,0.014906461611946413,0.15910802510053243,0.011176,False,False
12,POINT (-122.231267 47.305641),0.025304395495248003,-122.23126723889519,47.305641145546225,0.014906943980165122,0.17401496908069755,0.011176,False,False
13,POINT (-122.231122 47.305641),0.0253577397664104,-122.23112185506673,47.30564149878087,0.014906529664752087,0.18892149874544964,0.011176,False,False
