,geometry,elevation[km],latitude,longitude,point_distances[km],cumulative_distance[km],speed_limit[km/s],is_stop,is_signal
0,POINT (-122.388129 47.562947),0.09889211127710401,-122.38812865199998,47.56294666500003,,,0.0089408,False,False
1,POINT (-122.387982 47.562947),0.09906344719198801,-122.38798249885583,47.56294670020184,0.014986252669852826,0.014986252669852826,0.011176,False,False
2,POINT (-122.387836 47.562947),0.100796006279568,-122.3878363457117,47.56294673540365,0.015085097747005791,0.030071350416858617,0.011176,False,False
3,POINT (-122.38769 47.562947),0.09949733611724881,-122.38769019256756,47.562946770605464,0.015041441329820429,0.045112791746679044,0.011176,False,False
4,POINT (-122.387544 47.562947),0.09971564660844,-122.38754403942342,47.56294680580727,0.014986863332865393,0.060099655079544435,0.011176,False,False
5,POINT (-122.387398 47.562947),0.10006819401368161,-122.38739788627929,47.56294684100909,0.01498941969244286,0.0750890747719873,0.011176,False,False
6,POINT (-122.387252 47.562946),0.10014341342361842,-122.38725173401586,47.56294634063862,0.014985457497885794,0.0900745322698731,0.011176,False,False
7,POINT (-122.387106 47.562946),0.1003590800399856,-122.38710558186402,47.56294580154749,0.014986822979745426,0.10506135524961852,0.011176,True,False
8,POINT (-122.386959 47.562945),0.1005484106860632,-122.3869594298198,47.562945233438874,0.014986467156634941,0.12004782240625346,0.011176,False,False
9,POINT (-122.386817 47.562921),0.1139758366902888,-122.3868170033591,47.56292144558612,0.019984718588516664,0.14003254099477014,0.011176,False,True
10,POINT (-122.386775 47.562806),0.1027063997494008,-122.3867746517063,47.5628056556007,0.016859358452642643,0.15689189944741277,0.011176,False,False
11,POINT (-122.386774 47.56266),0.10008231147155282,-122.38677385620572,47.56265950461726,0.01507833726385278,0.17197023671126555,0.011176,False,False
12,POINT (-122.386773 47.562513),0.09963152705282882,-122.38677306070514,47.562513353633825,0.014855085801160161,0.1868253225124257,0.011176,False,False
13,POINT (-122.386772 47.562367),0.09926635307319602,-122.38677226520456,47.562367202650385,0.01485273280782967,0.20167805532025537,0.011176,False,False
14,POINT (-122.386771 47.562221),0.09887231496851281,-122.38677146970397,47.56222105166695,0.014853468890056868,0.21653152421031224,0.011176,False,False
15,POINT (-122.386771 47.562075),0.105134676269724,-122.38677067420338,47.56207490068351,0.016114819060859945,0.23264634327117217,0.011176,False,False
16,POINT (-122.38677 47.561929),0.09809300785026961,-122.3867698787028,47.56192874970008,0.016433358471130265,0.24907970174230243,0.011176,False,False
17,POINT (-122.386769 47.561783),0.0977190714759696,-122.38676908320221,47.56178259871664,0.014852944394286603,0.263932646136589,0.011176,False,False
18,POINT (-122.386768 47.561636),0.09736735927545839,-122.38676828770163,47.5616364477332,0.014852399889399716,0.27878504602598875,0.011176,False,False
19,POINT (-122.386767 47.56149),0.0969251896891872,-122.38676749220103,47.56149029674977,0.014854815621848342,0.29363986164783706,0.011176,False,False
20,POINT (-122.386767 47.561344),0.0965190204808008,-122.38676669670045,47.56134414576633,0.014853786012242316,0.30849364766007936,0.011176,False,False
21,POINT (-122.386766 47.561198),0.0967596183661776,-122.38676590119987,47.561197994782894,0.014850179292747316,0.32334382695282665,0.011176,False,False
22,POINT (-122.386784 47.561053),0.0967139201941248,-122.38678398279127,47.56105347087197,0.014799375071876808,0.33814320202470344,0.011176,False,True
23,POINT (-122.386788 47.560907),0.09586165917393602,-122.38678783591769,47.5609073685236,0.014872800133488752,0.3530160021581922,0.011176,False,False
24,POINT (-122.386792 47.560761),0.0958216511140488,-122.38679168904412,47.56076126617524,0.01484842303953316,0.36786442519772533,0.011176,False,False
25,POINT (-122.386796 47.560615),0.09574050606750001,-122.38679554217053,47.560615163826874,0.014848598648381334,0.38271302384610667,0.011176,False,False
26,POINT (-122.386799 47.560469),0.09635428851298321,-122.38679939529696,47.56046906147851,0.014861065148670118,0.3975740889947768,0.011176,False,False
27,POINT (-122.386803 47.560323),0.0956986358969352,-122.38680324842338,47.56032295913015,0.014862861095560087,0.4124369500903369,0.011176,False,False
28,POINT (-122.386807 47.560177),0.097860652285416,-122.3868071015498,47.56017685678178,0.015004976028842314,0.4274419261191792,0.011176,False,False
29,POINT (-122.386811 47.560031),0.09544512820298641,-122.38681095467622,47.56003075443342,0.01504360257625738,0.44248552869543656,0.011176,False,False
30,POINT (-122.386815 47.559885),0.09756684975806161,-122.38681480780265,47.55988465208505,0.014999238493773596,0.45748476718921016,0.011176,False,False
31,POINT (-122.386819 47.559739),0.0954443252375616,-122.38681866092908,47.55973854973669,0.01499935980239724,0.4724841269916074,0.011176,False,False
32,POINT (-122.386823 47.559592),0.09528127409452561,-122.3868225140555,47.559592447388326,0.014849326616314839,0.48733345360792224,0.011176,False,False
33,POINT (-122.386826 47.559446),0.0952234106064936,-122.38682636718192,47.55944634503996,0.014848551935510572,0.5021820055434328,0.011176,False,False
34,POINT (-122.38683 47.5593),0.0953411630657304,-122.386830293521,47.55930024473119,0.014848908429896557,0.5170309139733293,0.011176,False,True
35,POINT (-122.386835 47.559154),0.0962378015510376,-122.386834580438,47.55915415446758,0.014875525596687407,0.5319064395700167,0.011176,False,False
36,POINT (-122.386839 47.559008),0.0953074576962096,-122.38683886735501,47.55900806420396,0.014877603905962518,0.5467840434759792,0.011176,False,False
37,POINT (-122.386843 47.558862),0.0955632171431352,-122.38684315427201,47.558861973940346,0.014850697903752229,0.5616347413797315,0.011176,True,False
38,POINT (-122.386847 47.558716),0.09523231837704481,-122.386847441189,47.558715883676726,0.014852190626307339,0.5764869320060388,0.011176,False,False
39,POINT (-122.386852 47.55857),0.09515050954437121,-122.38685172810601,47.55856979341311,0.014848738064784695,0.5913356700708235,0.011176,False,False
40,POINT (-122.386856 47.558424),0.0951245111068584,-122.38685601502301,47.558423703149494,0.014848544117474143,0.6061842141882977,0.011176,False,False
41,POINT (-122.38686 47.558278),0.095102238127884,-122.38686030194002,47.55827761288588,0.014848546716192552,0.6210327609044902,0.011176,False,False
42,POINT (-122.386865 47.558132),0.09508804559076241,-122.38686458885702,47.55813152262226,0.014848545449569026,0.6358813063540593,0.011176,False,False
43,POINT (-122.386869 47.557985),0.09503531570617921,-122.38686887577401,47.55798543235865,0.01484864094693173,0.650729947300991,0.011176,False,False
44,POINT (-122.386869 47.557994),0.0950473048642176,-122.3868686277012,47.55799403603389,0.0008745427989302091,0.6516044900999212,0.011176,False,False
45,POINT (-122.386864 47.55814),0.09510260286253681,-122.38686434908018,47.558140126540714,0.014848649339847163,0.6664531394397684,0.011176,False,False
46,POINT (-122.386865 47.558123),0.0950718797580192,-122.38686485429693,47.558123107150706,0.0017301329811930308,0.6681832724209614,0.011176,False,False
47,POINT (-122.386869 47.557977),0.09504871060547519,-122.38686913455724,47.55797701669191,0.014848565559046826,0.6830318379800082,0.011176,False,False
48,POINT (-122.386873 47.557831),0.09503866578035282,-122.38687341481756,47.5578309262331,0.014848559521983214,0.6978803975019914,0.011176,False,False
49,POINT (-122.386878 47.557685),0.09498168786006961,-122.38687769507786,47.5576848357743,0.014848674083513081,0.7127290715855045,0.011176,False,False
50,POINT (-122.386882 47.557539),0.09497000905487761,-122.38688197533817,47.557538745315505,0.014848577997275514,0.7275776495827799,0.011176,False,False
