,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.305038 47.6074028),0.29694844898143874,0.011176,True,False,0.011386227261718895,0.011386227261718895,-122.305038,47.6074028,
1,POINT (-122.305038 47.60750516666667),0.2991759016130356,0.011176,False,False,0.01138622726101135,0.022772454522730246,-122.305038,47.60750516666667,0.0
2,POINT (-122.305038 47.607607533333336),0.3014555126981581,0.011176,False,False,0.011386227261718895,0.03415868178444914,-122.305038,47.607607533333336,0.0
3,POINT (-122.305038 47.6077099),0.303618234558817,0.011176,False,False,0.01138622726101135,0.04554490904546049,-122.305038,47.6077099,0.0
4,POINT (-122.305038 47.60781226666666),0.30549501951702285,0.011176,False,False,0.011386227261718895,0.056931136307179386,-122.305038,47.60781226666666,0.0
5,POINT (-122.305038 47.60791463333333),0.30691681989478703,0.011176,False,False,0.011386227261718895,0.06831736356889828,-122.305038,47.60791463333333,0.0
6,POINT (-122.305038 47.608017),0.3074824214481815,0.0156464,False,False,0.012302689089587867,0.08062005265848615,-122.305038,47.608017,0.0
7,POINT (-122.304874 47.608014125),0.307182602106553,0.0156464,False,False,0.012302689767287697,0.09292274242577385,-122.304874,47.608014125,0.0
8,POINT (-122.30471 47.60801125),0.3061288940856514,0.0156464,False,False,0.012302690441154182,0.10522543286692804,-122.30471,47.60801125,0.0
9,POINT (-122.304546 47.608008375),0.30438343409113744,0.0156464,False,False,0.012302691118872342,0.11752812398580038,-122.304546,47.608008375,0.0
10,POINT (-122.304382 47.6080055),0.30220264945219244,0.0156464,False,False,0.011867336008917283,0.12939545999471766,-122.304382,47.6080055,0.0
11,POINT (-122.30422375 47.6080055),0.29991665720550675,0.0156464,False,False,0.011867336010825388,0.14126279600554303,-122.30422375,47.6080055,0.0
12,POINT (-122.30406550000001 47.6080055),0.2977983078323051,0.0156464,False,False,0.011867336010825388,0.15313013201636844,-122.30406550000001,47.6080055,0.0
13,POINT (-122.30390725 47.6080055),0.29568834417738904,0.0156464,False,False,0.011867336010825388,0.16499746802719384,-122.30390725,47.6080055,0.0
14,POINT (-122.303749 47.6080055),0.2938093068227352,0.011176,False,False,0.010381081637535577,0.1753785496647294,-122.303749,47.6080055,0.0
15,POINT (-122.30361057142856 47.60800495714285),0.29182460537712684,0.011176,False,False,0.010381081743364691,0.1857596314080941,-122.30361057142856,47.60800495714285,0.0
16,POINT (-122.30347214285715 47.608004414285716),0.28950681523676586,0.011176,False,False,0.010381081853018184,0.19614071326111227,-122.30347214285715,47.608004414285716,0.0
17,POINT (-122.30333371428571 47.60800387142857),0.2870373904354929,0.011176,False,False,0.010381081960763604,0.20652179522187586,-122.30333371428571,47.60800387142857,0.0
18,POINT (-122.30319528571428 47.60800332857143),0.2847396840626828,0.011176,False,False,0.010381082068500793,0.21690287729037666,-122.30319528571428,47.60800332857143,0.0
19,POINT (-122.30305685714285 47.608002785714284),0.2826438215918203,0.011176,False,False,0.010381082174329904,0.22728395946470656,-122.30305685714285,47.608002785714284,0.0
20,POINT (-122.30291842857143 47.60800224285715),0.2809363330761042,0.011176,False,False,0.010381082283983396,0.23766504174868996,-122.30291842857143,47.60800224285715,0.0
21,POINT (-122.30278 47.6080017),0.27965951594995236,0.011176,False,False,0.0001,0.23776504174868995,-122.30278,47.6080017,0.0
22,POINT (-122.30278 47.6080017),0.2788111550924668,0.011176,False,False,0.010748509551464003,0.24851355130015396,-122.30278,47.6080017,0.0
23,POINT (-122.30278 47.60790506666667),0.2783029546137463,0.011176,False,False,0.010748509550756458,0.2592620608509104,-122.30278,47.60790506666667,0.0
24,POINT (-122.30278 47.60780843333333),0.27829305816863875,0.011176,False,False,0.010748509551464003,0.2700105704023744,-122.30278,47.60780843333333,0.0
25,POINT (-122.30278 47.6077118),0.2782099250846816,0.011176,True,False,0.0001,0.2701105704023744,-122.30278,47.6077118,-1.0
26,POINT (-122.30278 47.6077118),0.27791185022456455,0.011176,False,False,0.010419763599672338,0.28053033400204674,-122.30278,47.6077118,0.0
27,POINT (-122.30278 47.60761812222222),0.27761073079142606,0.011176,False,False,0.010419763599672338,0.2909500976017191,-122.30278,47.60761812222222,0.0
28,POINT (-122.30278 47.607524444444444),0.27735864912268793,0.011176,False,False,0.010419763598964793,0.3013698612006839,-122.30278,47.607524444444444,0.0
29,POINT (-122.30278 47.60743076666667),0.27705321589827886,0.011176,False,False,0.010419763599672338,0.3117896248003562,-122.30278,47.60743076666667,0.0
30,POINT (-122.30278 47.60733708888889),0.27670997594731184,0.011176,False,False,0.010419763600379883,0.3222093884007361,-122.30278,47.60733708888889,0.0
31,POINT (-122.30278 47.60724341111111),0.2762335369403553,0.011176,False,False,0.010419763598964793,0.3326291519997009,-122.30278,47.60724341111111,0.0
32,POINT (-122.30278 47.60714973333333),0.27579154978932274,0.0156464,False,False,0.010419763599672338,0.3430489155993732,-122.30278,47.60714973333333,0.0
33,POINT (-122.30278 47.60705605555555),0.2755425780680915,0.0156464,False,False,0.010419763599672338,0.35346867919904557,-122.30278,47.60705605555555,0.0
34,POINT (-122.30278 47.606962377777776),0.27558078515112894,0.0156464,False,False,0.010419763598964793,0.36388844279801036,-122.30278,47.606962377777776,0.0
35,POINT (-122.30278 47.6068687),0.27600662032263057,0.0156464,False,False,0.011153174278168088,0.37504161707617845,-122.30278,47.6068687,0.0
36,POINT (-122.30278 47.60676842857143),0.27683688183764554,0.0156464,False,False,0.011153174277460542,0.386194791353639,-122.30278,47.60676842857143,0.0
37,POINT (-122.30278 47.606668157142856),0.27812059003212036,0.0156464,False,False,0.011153174277460542,0.39734796563109953,-122.30278,47.606668157142856,0.0
38,POINT (-122.30278 47.606567885714284),0.27976552647588493,0.0156464,False,False,0.011153174278168088,0.4085011399092676,-122.30278,47.606567885714284,0.0
39,POINT (-122.30278 47.60646761428571),0.2815696588974185,0.0156464,False,False,0.011153174277460542,0.41965431418672816,-122.30278,47.60646761428571,0.0
40,POINT (-122.30278 47.60636734285714),0.2833063062832358,0.0156464,False,False,0.011153174278168088,0.43080748846489625,-122.30278,47.60636734285714,0.0
41,POINT (-122.30278 47.60626707142857),0.28452755267803564,0.0156464,False,False,0.011153174277460542,0.4419606627423568,-122.30278,47.60626707142857,0.0
42,POINT (-122.30278 47.6061668),0.28507236165933747,0.0156464,False,False,0.0001,0.4420606627423568,-122.30278,47.6061668,0.0
43,POINT (-122.30278 47.6061668),0.28492392124273913,0.0156464,False,False,0.011474036262093321,0.4535346990044501,-122.30278,47.6061668,0.0
44,POINT (-122.302933 47.6061668),0.28409523725176267,0.0156464,False,False,0.011136564606933115,0.4646712636113832,-122.302933,47.6061668,0.0
45,POINT (-122.30308149999999 47.6061668),0.2825366659809111,0.0156464,False,False,0.011136564608841288,0.4758078282202245,-122.30308149999999,47.6061668,0.0
46,POINT (-122.30323 47.6061668),0.28044795088334584,0.0156464,True,False,0.010592860274467509,0.486400688494692,-122.30323,47.6061668,0.0
47,POINT (-122.30337125 47.6061668),0.2781925796473227,0.0156464,False,False,0.01059286027637568,0.49699354877106766,-122.30337125,47.6061668,0.0
48,POINT (-122.3035125 47.6061668),0.27619155762857,0.0156464,False,False,0.010592860274467509,0.5075864090455352,-122.3035125,47.6061668,0.0
49,POINT (-122.30365375 47.6061668),0.27481234634506185,0.0156464,False,False,0.010592860274467509,0.5181792693200027,-122.30365375,47.6061668,0.0
50,POINT (-122.303795 47.6061668),0.2741885427194882,0.0156464,False,False,0.011005325630986464,0.5291845949509891,-122.303795,47.6061668,0.0
51,POINT (-122.30394174999999 47.6061668),0.2742870416530092,0.0156464,False,False,0.011005325630986464,0.5401899205819756,-122.30394174999999,47.6061668,0.0
52,POINT (-122.3040885 47.6061668),0.2750729497451612,0.0156464,False,False,0.011005325630986464,0.551195246212962,-122.3040885,47.6061668,0.0
53,POINT (-122.30423525 47.6061668),0.27655981438198923,0.0156464,False,False,0.011005325630986464,0.5622005718439484,-122.30423525,47.6061668,0.0
54,POINT (-122.304382 47.6061668),0.27852793212037064,0.011176,False,False,0.012298966975131153,0.5744995388190796,-122.304382,47.6061668,0.0
