,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.401314 47.6952934),0.2631703027778365,0.0089408,False,False,0.010389350860073743,0.010389350860073743,-122.401314,47.6952934,
1,POINT (-122.40127833333334 47.69520313333333),0.26255167412930097,0.0089408,False,False,0.010389352047424654,0.0207787029074984,-122.40127833333334,47.69520313333333,0.0
2,POINT (-122.40124266666666 47.69511286666667),0.2613151857200913,0.0089408,False,False,0.010389353236143336,0.031168056143641737,-122.40124266666666,47.69511286666667,0.0
3,POINT (-122.401207 47.6950226),0.2595653865054418,0.0089408,False,False,0.01094427483667925,0.04211233098032099,-122.401207,47.6950226,0.0
4,POINT (-122.4011675 47.69492786666667),0.25740682544058685,0.011176,False,False,0.010944276287859898,0.053056607268180886,-122.4011675,47.69492786666667,0.0
5,POINT (-122.401128 47.69483313333333),0.2549440514807607,0.011176,False,False,0.010944277738874304,0.0640008850070552,-122.401128,47.69483313333333,0.0
6,POINT (-122.4010885 47.694738400000006),0.2522816135811978,0.011176,False,False,0.010944279192447379,0.07494516419950258,-122.4010885,47.694738400000006,0.0
7,POINT (-122.401049 47.69464366666667),0.2495240606971323,0.011176,False,False,0.010944280642947574,0.08588944484245015,-122.401049,47.69464366666667,0.0
8,POINT (-122.4010095 47.69454893333334),0.24677594178379753,0.011176,False,False,0.010944282094643987,0.09683372693709413,-122.4010095,47.69454893333334,0.0
9,POINT (-122.40097 47.6944542),0.24422150914809165,0.011176,False,False,0.0001,0.09693372693709414,-122.40097,47.6944542,0.0
10,POINT (-122.40097 47.6944542),0.2387360625842765,0.011176,False,False,0.0074043342361999895,0.10433806117329412,-122.40097,47.6944542,0.0
11,POINT (-122.400948 47.6943893),0.23609547835311537,0.011176,False,False,0.007988192467648862,0.11232625364094298,-122.400948,47.6943893,0.0
12,POINT (-122.400902 47.6943245),0.2382004325559622,0.011176,False,False,0.005377477271178854,0.11770373091212183,-122.400902,47.6943245,0.0
13,POINT (-122.400879 47.6942787),0.24142475593495916,0.011176,True,False,0.00546075552627573,0.12316448643839756,-122.400879,47.6942787,0.0
14,POINT (-122.400833 47.6942406),0.24428534979569164,0.011176,False,False,0.0013823378347910715,0.12454682427318862,-122.400833,47.6942406,0.0
15,POINT (-122.400826 47.6942291),0.24674098493735366,0.011176,False,False,0.00893132728063598,0.13347815155382461,-122.400826,47.6942291,0.0
16,POINT (-122.400764 47.6941605),0.2476118983218532,0.011176,False,False,0.010541309472910298,0.1440194610267349,-122.400764,47.6941605,0.0
17,POINT (-122.400711 47.6940727),0.24704785893206874,0.011176,False,False,0.003990429893987474,0.1480098909207224,-122.400711,47.6940727,0.0
18,POINT (-122.400658 47.6940765),0.2511590556330713,0.011176,False,False,0.0040660553756214106,0.1520759462963438,-122.400658,47.6940765,0.0
19,POINT (-122.400604 47.6940804),0.25463246258714867,0.011176,False,False,0.003967981156922192,0.15604392745326598,-122.400604,47.6940804,0.0
20,POINT (-122.400551 47.6940804),0.2571837686355626,0.011176,False,False,0.004042848724303299,0.16008677617756928,-122.400551,47.6940804,0.0
21,POINT (-122.400497 47.6940804),0.25818481506725455,0.011176,False,False,0.0045874780341281915,0.16467425421169746,-122.400497,47.6940804,0.0
22,POINT (-122.400436 47.6940765),0.2553092213917061,0.011176,False,False,0.005935808432086115,0.17061006264378356,-122.400436,47.6940765,0.0
23,POINT (-122.40036 47.6940613),0.25842629773402603,0.011176,False,False,0.007710358019655244,0.1783204206634388,-122.40036,47.6940613,0.0
24,POINT (-122.400261 47.6940422),0.2601981159127521,0.011176,False,False,0.006515075405573239,0.18483549606901206,-122.400261,47.6940422,0.0
25,POINT (-122.400177 47.6940269),0.260887124926681,0.011176,False,False,0.0062295219350914,0.19106501800410347,-122.400177,47.6940269,0.0
26,POINT (-122.400101 47.6940041),0.260047318780384,0.011176,False,False,0.006954856136129924,0.1980198741402334,-122.400101,47.6940041,0.0
27,POINT (-122.400017 47.6939774),0.2635891900313515,0.011176,False,False,0.010259231649722509,0.2082791057899559,-122.400017,47.6939774,0.0
28,POINT (-122.399895 47.6939354),0.2682855967235257,0.011176,False,False,0.00960116874984554,0.21788027453980144,-122.399895,47.6939354,0.0
29,POINT (-122.39978 47.6938972),0.27017221267747304,0.011176,False,False,0.008500329081113209,0.22638060362091464,-122.39978,47.6938972,0.0
30,POINT (-122.399689 47.6938515),0.2701426672684506,0.011176,False,False,0.008543445081040591,0.23492404870195524,-122.399689,47.6938515,0.0
31,POINT (-122.39959 47.6938133),0.26898832386123006,0.011176,False,False,0.006180254478142954,0.2411043031800982,-122.39959,47.6938133,0.0
32,POINT (-122.399521 47.6937828),0.26667498410818247,0.011176,False,False,0.0004226733663871274,0.24152697654648533,-122.399521,47.6937828,0.0
33,POINT (-122.399521 47.693779),0.2654375948123505,0.011176,False,False,0.0055588172261525565,0.2470857937726379,-122.399521,47.693779,0.0
34,POINT (-122.399467 47.6937447),0.26752895711892766,0.011176,False,False,0.003818637035075645,0.2509044308077135,-122.399467,47.6937447,0.0
35,POINT (-122.399429 47.6937218),0.2658524314006403,0.011176,False,False,0.0037235250337278353,0.2546279558414414,-122.399429,47.6937218,0.0
36,POINT (-122.399399 47.6936951),0.26353506157936935,0.011176,False,False,0.0034329433920838883,0.25806089923352526,-122.399399,47.6936951,0.0
37,POINT (-122.399376 47.6936684),0.2607702453424305,0.011176,False,False,0.005803881647591033,0.2638647808811163,-122.399376,47.6936684,0.0
38,POINT (-122.39933 47.6936264),0.25872074790930844,0.011176,False,False,0.004978907672581936,0.2688436885536982,-122.39933,47.6936264,0.0
39,POINT (-122.399307 47.6935844),0.2630446934183303,0.011176,False,False,0.0086004469961516,0.2774441355498498,-122.399307,47.6935844,0.0
40,POINT (-122.399254 47.6935158),0.26340238617226674,0.011176,False,False,0.006377020507082519,0.2838211560569323,-122.399254,47.6935158,0.0
