,geometry,elevation[km],speed_limit[km/s],is_stop,is_signal,point_distances[km],cumulative_distance[km],latitude,longitude,ridership changes
0,POINT (-122.360893 47.6488304),0.05813364943924485,0.011176,False,False,0.012302019555439747,0.012302019555439747,-122.360893,47.6488304,
1,POINT (-122.360893 47.6487198),0.058332311696939546,0.011176,False,False,0.006362346460559665,0.018664366015999412,-122.360893,47.6487198,0.0
2,POINT (-122.360893 47.6486626),0.06059497340631374,0.011176,False,False,0.010693636167400933,0.029358002183400345,-122.360893,47.6486626,0.0
3,POINT (-122.360893 47.64856646),0.06427392736403814,0.011176,False,False,0.010693636165985843,0.04005163834938619,-122.360893,47.64856646,0.0
4,POINT (-122.360893 47.64847032),0.06872146636678345,0.011176,False,False,0.010693636167400933,0.05074527451678712,-122.360893,47.64847032,0.0
5,POINT (-122.360893 47.64837418),0.07328988321122061,0.011176,False,False,0.010693636165985843,0.06143891068277296,-122.360893,47.64837418,0.0
6,POINT (-122.360893 47.64827804),0.0760424431398479,0.011176,False,False,0.010693636167400933,0.0721325468501739,-122.360893,47.64827804,0.0
7,POINT (-122.360893 47.6481819),0.07823943636523012,0.011176,False,False,0.0001,0.0722325468501739,-122.360893,47.6481819,0.0
8,POINT (-122.360893 47.6481819),0.07989935711769544,0.011176,False,False,0.011136887051927282,0.08336943390210118,-122.360893,47.6481819,0.0
9,POINT (-122.360893 47.648081774999994),0.08052108060396662,0.011176,False,False,0.011136887051927282,0.09450632095402846,-122.360893,47.648081774999994,0.0
10,POINT (-122.360893 47.64798165),0.08025863547869799,0.011176,False,False,0.011136887051927282,0.10564320800595574,-122.360893,47.64798165,0.0
11,POINT (-122.360893 47.647881525),0.07924948452680562,0.011176,False,False,0.011136887051927282,0.11678009505788302,-122.360893,47.647881525,0.0
12,POINT (-122.360893 47.6477814),0.08308188652269798,0.011176,False,False,0.0001,0.11688009505788302,-122.360893,47.6477814,0.0
13,POINT (-122.360893 47.6477814),0.08547192539312932,0.011176,False,False,0.010324600297595854,0.12720469535547888,-122.360893,47.6477814,0.0
14,POINT (-122.360893 47.64768857777778),0.08793802276469087,0.011176,False,False,0.010324600298303399,0.13752929565378227,-122.360893,47.64768857777778,0.0
15,POINT (-122.360893 47.64759575555556),0.09015734605411306,0.011176,False,False,0.010324600297595854,0.14785389595137813,-122.360893,47.64759575555556,0.0
16,POINT (-122.360893 47.647502933333335),0.09250503010071831,0.011176,False,False,0.010324600297595854,0.15817849624897398,-122.360893,47.647502933333335,0.0
17,POINT (-122.360893 47.647410111111114),0.0948618281793487,0.011176,False,False,0.010324600298303399,0.16850309654727738,-122.360893,47.647410111111114,0.0
18,POINT (-122.360893 47.647317288888885),0.0966791942747605,0.011176,False,False,0.010324600297595854,0.17882769684487324,-122.360893,47.647317288888885,0.0
19,POINT (-122.360893 47.647224466666664),0.10129458081083183,0.011176,False,False,0.010324600297595854,0.1891522971424691,-122.360893,47.647224466666664,0.0
20,POINT (-122.360893 47.64713164444444),0.10251866009407713,0.011176,False,False,0.010324600297595854,0.19947689744006494,-122.360893,47.64713164444444,0.0
21,POINT (-122.360893 47.64703882222222),0.10963789031555646,0.011176,False,False,0.010324600298303399,0.20980149773836834,-122.360893,47.64703882222222,0.0
22,POINT (-122.360893 47.646946),0.11536303616681619,0.011176,False,False,0.005094326362105828,0.21489582410047417,-122.360893,47.646946,0.0
23,POINT (-122.360893 47.6469002),0.11697682540288945,0.011176,False,False,0.003392509912765851,0.21828833401324002,-122.360893,47.6469002,0.0
24,POINT (-122.360893 47.6468697),0.1236666499495789,0.011176,False,False,0.012096244364141917,0.23038457837738194,-122.360893,47.6468697,0.0
